jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Michigan,Offender Profiles,offender_profiles,2008-02-13 11:21:29,24838,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-03-12 06:43:20,24838,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-04-09 08:58:32,24838,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-05-14 09:16:40,25244,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-05-23 18:17:46,25244,decimal_spike_dip,True,False,False,False
Michigan,Offender Profiles,offender_profiles,2008-09-16 15:05:50,243227,stale_exact_reappearance,False,False,False,True
Michigan,Offender Profiles,offender_profiles,2009-08-25 08:16:17,243227,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-01-05 15:59:44,1606,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-01-13 02:42:55,1606,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-01-19 03:08:19,1606,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-01-20 01:40:16,1606,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-01-23 03:41:37,1606,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-05-27 04:34:06,1777,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-06-02 05:00:31,1777,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-06-09 23:22:44,1777,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2005-06-18 02:45:42,1777,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2008-09-16 15:04:36,3990,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2009-04-30 06:16:35,3990,stale_exact_reappearance,False,False,False,True
Minnesota,Forensic Profiles,forensic_profiles,2009-08-25 08:33:31,3990,stale_exact_reappearance,False,False,False,True
Minnesota,Investigations Aided,investigations_aided,2002-06-06 18:17:28,194,spike_dip,False,True,False,False
Minnesota,Offender Profiles,offender_profiles,2008-09-16 15:04:36,76725,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2009-04-30 06:16:35,76725,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2009-08-25 08:33:31,76725,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2021-05-07 09:09:54,177180,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2021-05-07 09:09:55,177180,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2021-05-14 07:54:57,177180,stale_exact_reappearance,False,False,False,True
Minnesota,Offender Profiles,offender_profiles,2021-05-27 10:08:01,177180,stale_exact_reappearance,False,False,False,True
Mississippi,Forensic Profiles,forensic_profiles,2008-09-16 15:19:34,201,stale_exact_reappearance,False,False,False,True
Mississippi,Forensic Profiles,forensic_profiles,2009-08-25 08:17:29,201,stale_exact_reappearance,False,False,False,True
Mississippi,Investigations Aided,investigations_aided,2009-08-25 08:17:29,35,spike_dip,False,True,False,False
